country	Argentina	#4041C7
country	Australia	#3F50CC
country	Belgium	#3F5ED0
country	China	#416CCE
country	Germany	#4379CD
country	India	#4784C7
country	Iran	#5098B9
country	Italy	#4B8FC1
country	Jordan	#5098B9
country	Kenya	#56A0AF
country	Mexico	#5CA7A4
country	New_Zealand	#63AC99
country	Peru	#6BB18E
country	Philippines	#73B583
country	South_Africa	#7CB878
country	South_Korea	#86BB6E
country	Spain	#A4BE56
country	Canada	#AFBD4F
country	USA	#B9BC4A
country	Viet_Nam	#C2BA46
country	Netherlands	#CCB742
country	Hong_Kong	#D3B240
country	Japan	#DAAC3D
country	Lebanon	#DFA43B
country	Russia	#E39B39
country	Saudi_Arabia	#E68F36
country	Taiwan	#E68234
country	Uruguay	#DC2F24
region	Africa	#86BB6E
region	Americas	#4379CD
region	Eastern_Mediterranean	#D3B240
region	Europe	#DC2F24
region	South-East_Asia	#511EA8
region	Western_Pacific	#E67431
Genotype	GA2	#86BB6E
Genotype	GA5	#4379CD
Genotype	NA	#D3B240
Genotype	NA1	#DC2F24
Genotype	ON1	#511EA8