country	Hong_Kong	#511EA8
country	Kenya	#4928B4
country	South_Africa	#4334BF
country	South_Korea	#4041C7
country	Argentina	#3F50CC
country	Brazil	#3F5ED0
country	Canada	#416CCE
country	Cuba	#4379CD
country	Mexico	#4784C7
country	Paraguay	#4B8FC1
country	Peru	#5098B9
country	USA	#56A0AF
country	Iran	#5CA7A4
country	Jordan	#63AC99
country	Lebanon	#6BB18E
country	Saudi_Arabia	#73B583
country	Belgium	#7CB878
country	Germany	#86BB6E
country	Italy	#A4BE56
country	Latvia	#AFBD4F
country	Netherlands	#B9BC4A
country	Russia	#C2BA46
country	Spain	#CCB742
country	India	#D3B240
country	Thailand	#DAAC3D
country	Australia	#DFA43B
country	China	#E39B39
country	Japan	#E68F36
country	New_Zealand	#E68234
country	Philippines	#E67431
country	Taiwan	#E4632E
country	Viet_Nam	#E1512A
region	Africa	#86BB6E
region	Americas	#4379CD
region	Eastern_Mediterranean	#D3B240
region	Europe	#DC2F24
region	South-East_Asia	#511EA8
region	Western_Pacific	#E67431
Genotype	GA2	#86BB6E
Genotype	GA5	#4379CD
Genotype	GA7	#D3B240
Genotype	NA	#DC2F24
Genotype	NA1	#511EA8
Genotype	NA2	#E67431
Genotype	ON1	#DC2F24